,# STN, LON(east), LAT(north), ALT(m), NAME
0,391,6.197,51.498000000000005,19.5,  ARCEN
1,370,5.377000000000001,51.451,22.6,  EINDHOVEN
2,331,4.1930000000000005,51.48,0.0,  THOLEN
3,315,3.998,51.446999999999996,0.0,  HANSWEERT
4,324,4.006,51.596000000000004,0.0,  STAVENISSE
5,375,5.707000000000001,51.659,22.0,  VOLKEL
6,380,5.7620000000000005,50.906000000000006,114.3,  MAASTRICHT
7,240,4.79,52.318000000000005,-3.3,  SCHIPHOL
8,286,7.15,53.196000000000005,-0.2,  NIEUW BEERTA
9,310,3.596,51.442,8.0,  VLISSINGEN
10,283,6.657,52.068999999999996,29.1,  HUPSEL
11,280,6.585,53.125,5.2,  EELDE
12,273,5.888,52.703,-3.3,  MARKNESSE
13,323,3.884,51.527,1.4,  WILHELMINADORP
14,249,4.979,52.644,-2.4,  BERKHOUT
15,377,5.763,51.198,30.0,  ELL
16,316,3.694,51.657,0.0,  SCHAAR
17,313,3.242,51.505,0.0, VLAKTE V.D. RAAN
18,277,6.2,53.413000000000004,2.9,  LAUWERSOOG
19,348,4.926,51.97,-0.7,  CABAUW
20,308,3.3789999999999996,51.381,0.0,  CADZAND
21,319,3.861,51.226000000000006,1.7,  WESTDORPE
22,215,4.437,52.141000000000005,-1.1,  VOORSCHOTEN
23,278,6.2589999999999995,52.435,3.6,  HEINO
24,285,6.399,53.575,0.0,  HUIBERTGAT
25,343,4.313,51.893,3.5,  R'DAM-GEULHAVEN
26,225,4.555,52.463,4.4,  IJMUIDEN
27,330,4.122,51.992,11.9,  HOEK VAN HOLLAND
28,267,5.3839999999999995,52.898,-1.3,  STAVOREN
29,269,5.52,52.458,-3.7,  LELYSTAD
30,344,4.447,51.961999999999996,-4.3,  ROTTERDAM
31,275,5.872999999999999,52.056000000000004,48.2,  DEELEN
32,235,4.781000000000001,52.928000000000004,1.2,  DE KOOY
33,257,4.603,52.506,8.5,  WIJK AAN ZEE
34,290,6.891,52.273999999999994,34.8,  TWENTHE
35,350,4.936,51.566,14.9,  GILZE-RIJEN
36,251,5.346,53.391999999999996,0.7,  HOORN (TERSCHELLING)
37,210,4.43,52.17100000000001,-0.2,  VALKENBURG
38,248,5.1739999999999995,52.63399999999999,0.8,  WIJDENES
39,279,6.574,52.75,15.8,  HOOGEVEEN
40,258,5.401,52.648999999999994,7.3,  HOUTRIBDIJK
41,356,5.146,51.858999999999995,0.7,  HERWIJNEN
42,209,4.518,52.465,0.0,  IJMOND
43,265,5.274,52.13,13.9,  SOESTERBERG
44,312,3.622,51.768,0.0,  OOSTERSCHELDE
45,340,4.342,51.449,19.2,  WOENSDRECHT
46,260,5.18,52.1,1.9,  DE BILT
47,270,5.752000000000001,53.224,1.2, LEEUWARDEN
48,311,3.6719999999999997,51.379,0.0,  HOOFDPLAAT
49,242,4.921,53.24100000000001,10.8,  VLIELAND
